2026-06-03 13:37:23 [WARNING ] UNKNOWN device — TELESCOP='FutureScopeX 9000', INSTRUMENT='', CREATOR='', dimensions=9999×9999. Check surprises.log and update DEVICE_SIGNATURES if this is a new device.
2026-06-03 13:37:23 [WARNING ] Device identified by image size (3856×2180) as DWARF_3. TELESCOP='DWARF-III-V2' is not in known signatures — possible firmware rename. Please update DEVICE_SIGNATURES.
2026-06-03 13:37:23 [WARNING ] Device identified by image size (1920×1080) as DWARF_MINI. TELESCOP='' is not in known signatures — possible firmware rename. Please update DEVICE_SIGNATURES.
2026-06-03 13:37:23 [WARNING ] Device identified by image size (1080×1920) as SEESTAR_S50. TELESCOP='' is not in known signatures — possible firmware rename. Please update DEVICE_SIGNATURES.
2026-06-03 13:37:23 [WARNING ] Unrecognised IMAGETYP value: 'Experimental' — falling back to inference.
2026-06-03 13:37:23 [WARNING ] Cannot classify frame — IMAGETYP='', OBJECT='', RA=45.0, DEC=30.0.
2026-06-03 14:10:20 [INFO    ] Found 15408 FITS file(s) under /Users/edm/Astronomy/Astrocapture/2026
2026-06-03 14:10:20 [DEBUG   ] [1/15408] bias_gain_2_bin_1.fits
2026-06-03 14:10:20 [WARNING ] Device identified by image size (3856×2180) as DWARF_3. TELESCOP='' is not in known signatures — possible firmware rename. Please update DEVICE_SIGNATURES.
2026-06-03 14:10:20 [WARNING ] Cannot classify frame — IMAGETYP='', OBJECT='', RA=None, DEC=None.
2026-06-03 14:10:20 [DEBUG   ] [2/15408] bias_gain_2_bin_1.fits
2026-06-03 14:10:20 [WARNING ] Device identified by image size (1920×1080) as DWARF_MINI. TELESCOP='' is not in known signatures — possible firmware rename. Please update DEVICE_SIGNATURES.
2026-06-03 14:10:20 [WARNING ] Cannot classify frame — IMAGETYP='', OBJECT='', RA=None, DEC=None.
2026-06-03 14:10:21 [DEBUG   ] [128/15408] Barnard 33_30s60_Duo-Band_20260324-214229783_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [129/15408] Barnard 33_30s60_Duo-Band_20260324-214259765_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [130/15408] Barnard 33_30s60_Duo-Band_20260324-214359717_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [131/15408] Barnard 33_30s60_Duo-Band_20260324-214429699_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [132/15408] Barnard 33_30s60_Duo-Band_20260324-214459692_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [133/15408] Barnard 33_30s60_Duo-Band_20260324-214529672_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [134/15408] Barnard 33_30s60_Duo-Band_20260324-214559654_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [135/15408] Barnard 33_30s60_Duo-Band_20260324-214629635_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [136/15408] Barnard 33_30s60_Duo-Band_20260324-214729588_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [137/15408] Barnard 33_30s60_Duo-Band_20260324-214759570_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [138/15408] Barnard 33_30s60_Duo-Band_20260324-214829561_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [139/15408] Barnard 33_30s60_Duo-Band_20260324-214859553_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [140/15408] Barnard 33_30s60_Duo-Band_20260324-214929526_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [141/15408] Barnard 33_30s60_Duo-Band_20260324-214959507_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [142/15408] Barnard 33_30s60_Duo-Band_20260324-215059457_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [143/15408] Barnard 33_30s60_Duo-Band_20260324-215129439_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [144/15408] Barnard 33_30s60_Duo-Band_20260324-215159433_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [145/15408] Barnard 33_30s60_Duo-Band_20260324-215229413_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [146/15408] Barnard 33_30s60_Duo-Band_20260324-215259395_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [147/15408] Barnard 33_30s60_Duo-Band_20260324-215329377_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [148/15408] Barnard 33_30s60_Duo-Band_20260324-215429328_37C.fits
2026-06-03 14:10:21 [DEBUG   ] [149/15408] Barnard 33_30s60_Duo-Band_20260324-215459311_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [150/15408] Barnard 33_30s60_Duo-Band_20260324-215529304_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [151/15408] Barnard 33_30s60_Duo-Band_20260324-215559285_36C.fits
2026-06-03 14:10:21 [DEBUG   ] [152/15408] Barnard 33_30s60_Duo-Band_20260324-215629271_36C.fits
